uuaa,job,conf
rzua,rzua-gl-hmm-qlt-inmstrsustkpilinkoperation-01,RZUA_sust-kpi-link-operation_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmrulesustkpilinkksancon-01,RZUA_sust-kpi-link-operation_KSAN_contract-global-local_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmrulesustkpilinkopksaneo-01,RZUA_sust-kpi-link-operation_KSAN_eom-contract_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmvpsustkpilinkopercheckp-01,RZUA_sust-kpi-link-oper-checkp_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstrsustkpilinkopercheckp-01,RZUA_sust-kpi-link-oper-checkp_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmrulesustkprchecklink-01,RZUA_sust-kpi-link-oper-checkp_RZUA_sust-kpi-link-oper-condit_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmvpoperationscustscope-01,RZUA_operations-cust-scope-cib_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstroperationscustscope-01,RZUA_operations-cust-scope-cib_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmroperationscustscopeeom-01,RZUA_operations-cust-scope-cib_KBTQ_eom-customer_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmroperationscustscopenty-01,RZUA_operations-cust-scope-cib_KCOG_entity_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmroperationscustscopehol-01,RZUA_operations-cust-scope-cib_KSAG_holding-business-group_MMRule.conf
rzua,rzua-gl-hmm-qlt-inmmvpsustkpilinkrvwalert-01,RZUA_sust-kpi-link-rvw-alert_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstrsustkpilinkrvwalert-01,RZUA_sust-kpi-link-rvw-alert_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmvpissuanceoutputems-01,RZUA_issuance-output-emissions_MRField.conf
rzua,rzua-gl-hmm-qlt-inmstrissuanceoutputems-01,RZUA_issuance-output-emissions_MRObject.conf
rzua,rzua-gl-hmm-qlt-inmmvpsustkpilinkoperrev-01,RZUA_sust-kpi-link-oper-review_MRField.conf
