QR Clasification,Origin,DPOw,Object,Field,Secondary Object,Secondary Field,Drive configs,ID Rule,Type of Rule,Rule description,Request Date,Implantation Type,Status,Comments,Delivery Date,Conf SDM - Components Name,TEAM,STATUS DEVELOPMENT,version  FINISHED,DEFINITION PERIOD,CATALOG,"Is Critical 
(True/False)",Parameters,Url conf,Url Extralibs
DOMAIN,Stock,DPOw Client Solutions,t_l9ct_grp_clnt_crbn_data_scp3,gf_ghg_scp_3_ems_ind_up_number,,,  ,GL_DOM_t_l9ct_grp_clnt_crbn_data_scp3_6.4_003,6.4-Comparison of the value of the same data between periods (Trend of the value of a data),"The value of the NUMBER OF INDIRECT UPWARD GHG EMISSIONS SCOPE 3 (gf_ghg_scp_3_ems_ind_up_number) field associated with the year of the same LAST ANNUAL REPORT YEAR IDENTIFIER GLOBAL MODEL (g_lst_annual_rpt_year_id), same CLOSING DATE (cutoff_date), same UNIQUE IDENTIFIER TRUCOST SECTOR GLOBAL MODEL (g_sector_trucost_uniq_id) and same HOLDING GROUP IDENTIFIER GLOBAL MODEL (g_holding_group_id), cannot vary more than 100% with respect to the previous year",,Holding,DELIVERED, ,29/02/2024,L9CT_grp-clnt-crbn-data-scp3_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/l9ct_hamm/13.0.3/hammurabi/confs/master/l9ct/L9CT_grp-clnt-crbn-data-scp3_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
DOMAIN,Stock,DPOw Client Solutions,t_l9ct_grp_nclnt_crbn_data_scp3,gf_ghg_s3_ems_i_dw_to_r_number,,,  ,GL_DOM_t_l9ct_grp_nclnt_crbn_data_scp3_6.4_000,6.4-Comparison of the value of the same data between periods (Trend of the value of a data),"The value of the field NUMBER OF INDIRECT GHG EMISSIONS SCOPE 3 DESCENDS IN REVENUE (gf_ghg_s3_ems_i_dw_to_r_number) associated with the year of the same YEAR IDENTIFIER LAST ANNUAL REPORT GLOBAL MODEL (g_lst_annual_rpt_year_id), same CLOSING DATE (cutoff_date), same LEI IDENTIFIER GLOBAL MODEL (g_lei_id) and same UNIQUE IDENTIFIER SECTOR TRUCOST GLOBAL MODEL (g_sector_trucost_uniq_id), cannot vary more than 100% with respect to the previous year",,Holding,DELIVERED, ,29/02/2024,L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/l9ct_hamm/13.0.3/hammurabi/confs/master/l9ct/L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
DOMAIN,Stock,DPOw Client Solutions,t_l9ct_grp_nclnt_crbn_data_scp3,gf_ghg_s3_ems_i_up_to_r_number,,,  ,GL_DOM_t_l9ct_grp_nclnt_crbn_data_scp3_6.4_001,6.4-Comparison of the value of the same data between periods (Trend of the value of a data),"The value of the field NUMBER OF INDIRECT GHG EMISSIONS SCOPE 3 ASCENDS IN REVENUE (gf_ghg_s3_ems_i_up_to_r_number) associated with the year of the same YEAR IDENTIFIER LAST ANNUAL REPORT GLOBAL MODEL (g_lst_annual_rpt_year_id), same CLOSING DATE (cutoff_date), same LEI IDENTIFIER GLOBAL MODEL (g_lei_id) and same UNIQUE IDENTIFIER SECTOR TRUCOST GLOBAL MODEL (g_sector_trucost_uniq_id), cannot vary more than 100% with respect to the previous year",,Holding,DELIVERED, ,29/02/2024,L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/l9ct_hamm/13.0.3/hammurabi/confs/master/l9ct/L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
DOMAIN,Stock,DPOw Client Solutions,t_l9ct_grp_nclnt_crbn_data_scp3,gf_ghg_scp_3_ems_ind_dw_number,,,  ,GL_DOM_t_l9ct_grp_nclnt_crbn_data_scp3_6.4_002,6.4-Comparison of the value of the same data between periods (Trend of the value of a data),"The value of the NUMBER OF INDIRECT DOWNWARD GHG EMISSIONS SCOPE 3 (gf_ghg_scp_3_ems_ind_dw_number) field associated with the year of the same YEAR IDENTIFIER LAST ANNUAL REPORT GLOBAL MODEL (g_lst_annual_rpt_year_id), same CLOSING DATE (cutoff_date), same LEI IDENTIFIER GLOBAL MODEL (g_lei_id) and same UNIQUE IDENTIFIER TRUCOST SECTOR GLOBAL MODEL (g_sector_trucost_uniq_id), cannot vary more than 100% with respect to the previous year",,Holding,DELIVERED, ,29/02/2024,L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/l9ct_hamm/13.0.3/hammurabi/confs/master/l9ct/L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
DOMAIN,Stock,DPOw Client Solutions,t_l9ct_grp_nclnt_crbn_data_scp3,gf_ghg_scp_3_ems_ind_up_number,,,  ,GL_DOM_t_l9ct_grp_nclnt_crbn_data_scp3_6.4_003,6.4-Comparison of the value of the same data between periods (Trend of the value of a data),"The value of the NUMBER OF GHG EMISSIONS SCOPE 3 INDIRECT UPWARDS (gf_ghg_scp_3_ems_ind_up_number) field associated with the year of the same YEAR IDENTIFIER LAST ANNUAL REPORT GLOBAL MODEL (g_lst_annual_rpt_year_id), same CLOSING DATE (cutoff_date), same LEI IDENTIFIER GLOBAL MODEL (g_lei_id) and same UNIQUE IDENTIFIER TRUCOST SECTOR GLOBAL MODEL (g_sector_trucost_uniq_id), cannot vary more than 100% with respect to the previous year",,Holding,DELIVERED, ,29/02/2024,L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/l9ct_hamm/13.0.3/hammurabi/confs/master/l9ct/L9CT_grp-nclnt-crbn-data-scp3_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
DOMAIN,Stock,DPOw Client Solutions,t_l9ct_client_carbon_data_scp3,gf_ghg_s3_ems_i_dw_to_r_number,,,  ,GL_DOM_t_l9ct_client_carbon_data_scp3_6.4_000,6.4-Comparison of the value of the same data between periods (Trend of the value of a data),"The value of the field NUMBER OF INDIRECT GHG EMISSIONS SCOPE 3 DESCENDS IN REVENUE (gf_ghg_s3_ems_i_dw_to_r_number) associated with the year of the same YEAR IDENTIFIER LAST ANNUAL REPORT GLOBAL MODEL (g_lst_annual_rpt_year_id), same CLOSING DATE (cutoff_date), same CUSTOMER IDENTIFIER GLOBAL MODEL (g_customer_id), same LEI IDENTIFIER GLOBAL MODEL (g_lei_id) and same UNIQUE IDENTIFIER SECTOR TRUCOST GLOBAL MODEL (g_sector_trucost_uniq_id), cannot vary more than 100% with respect to the previous year",,Holding,DELIVERED, ,29/02/2024,L9CT_client-carbon-data-scp3_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/l9ct_hamm/13.0.3/hammurabi/confs/master/l9ct/L9CT_client-carbon-data-scp3_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
DOMAIN,Stock,DPOw Client Solutions,t_l9ct_client_carbon_data_scp3,gf_ghg_s3_ems_i_up_to_r_number,,,  ,GL_DOM_t_l9ct_client_carbon_data_scp3_6.4_001,6.4-Comparison of the value of the same data between periods (Trend of the value of a data),"The value of the field NUMBER OF INDIRECT GHG EMISSIONS SCOPE 3 ASCENDS IN REVENUE (gf_ghg_s3_ems_i_up_to_r_number) associated with the year of the same YEAR IDENTIFIER LAST ANNUAL REPORT GLOBAL MODEL (g_lst_annual_rpt_year_id), same CLOSING DATE (cutoff_date), same CUSTOMER IDENTIFIER GLOBAL MODEL (g_customer_id), same LEI IDENTIFIER GLOBAL MODEL (g_lei_id) and same UNIQUE IDENTIFIER SECTOR TRUCOST GLOBAL MODEL (g_sector_trucost_uniq_id), cannot vary more than 100% with respect to the previous year",,Holding,DELIVERED, ,29/02/2024,L9CT_client-carbon-data-scp3_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/l9ct_hamm/13.0.3/hammurabi/confs/master/l9ct/L9CT_client-carbon-data-scp3_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
DOMAIN,Stock,DPOw Client Solutions,t_l9ct_client_carbon_data_scp3,gf_ghg_scp_3_ems_ind_dw_number,,,  ,GL_DOM_t_l9ct_client_carbon_data_scp3_6.4_002,6.4-Comparison of the value of the same data between periods (Trend of the value of a data),"The value of the NUMBER OF INDIRECT DOWNWARD GHG EMISSIONS SCOPE 3 (gf_ghg_scp_3_ems_ind_dw_number) field associated with the year of the same YEAR IDENTIFIER LAST ANNUAL REPORT GLOBAL MODEL (g_lst_annual_rpt_year_id), same CLOSING DATE (cutoff_date), same CUSTOMER IDENTIFIER GLOBAL MODEL (g_customer_id), same LEI IDENTIFIER GLOBAL MODEL (g_lei_id) and same UNIQUE IDENTIFIER SECTOR TRUCOST GLOBAL MODEL (g_sector_trucost_uniq_id), cannot vary more than 100% with respect to the previous year",,Holding,DELIVERED, ,29/02/2024,L9CT_client-carbon-data-scp3_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/l9ct_hamm/13.0.3/hammurabi/confs/master/l9ct/L9CT_client-carbon-data-scp3_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
DOMAIN,Stock,DPOw Client Solutions,t_l9ct_client_carbon_data_scp3,gf_ghg_scp_3_ems_ind_up_number,,,  ,GL_DOM_t_l9ct_client_carbon_data_scp3_6.4_003,6.4-Comparison of the value of the same data between periods (Trend of the value of a data),"The value of the NUMBER OF GHG EMISSIONS SCOPE 3 INDIRECT UPWARDS (gf_ghg_scp_3_ems_ind_up_number) field associated with the year of the same YEAR IDENTIFIER LAST ANNUAL REPORT GLOBAL MODEL (g_lst_annual_rpt_year_id), same CLOSING DATE (cutoff_date), same CUSTOMER IDENTIFIER GLOBAL MODEL (g_customer_id), same LEI IDENTIFIER GLOBAL MODEL (g_lei_id) and same UNIQUE IDENTIFIER SECTOR TRUCOST GLOBAL MODEL (g_sector_trucost_uniq_id), cannot vary more than 100% with respect to the previous year",,Holding,DELIVERED, ,29/02/2024,L9CT_client-carbon-data-scp3_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/l9ct_hamm/13.0.3/hammurabi/confs/master/l9ct/L9CT_client-carbon-data-scp3_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar
DOMAIN,Stock,DPOw Client Solutions,t_knfa_energy_certifications,gf_energy_consm_letter_id,,,  ,GL_DOM_t_knfa_energy_certifications_3.5_000,3.5-Checking the value of the data in the catalog (Value against catalog),This ENERGY CONSUMPTION LETTER IDENTIFIER field (gf_energy_consm_letter_id) must have one of the values ​​listed in your catalog,,Local,DELIVERED, ,29/02/2024,KNFA_energy-certifications_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,B309,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/knfa_hamm/13.0.3/hammurabi/confs/master/knfa/KNFA_energy-certifications_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_tdi3_campaign,gf_cmpgn_start_date,,,  ,GL_DOM_t_tdi3_campaign_5.3_000,5.3-Comparison between different values ​​of data related to each other (data in the same object): Logical comparison between two fields or expresions are in the same object,"For records with g_campaign_always_on_ind_type = 'Y', the campaign start date (gf_cmpgn_start_date) must be less than or equal to the campaign end date (gf_cmpgn_end_date).",,Local,DELIVERED, ,29/02/2024,TDI3_campaign_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/tdi3_hamm/13.0.3/hammurabi/confs/master/tdi3/TDI3_campaign_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_kmig_customer_allocation,gf_management_alloc_date,,,  ,GL_DOM_t_kmig_customer_allocation_5.3_000,5.3-Comparison between different values ​​of data related to each other (data in the same object): Logical comparison between two fields or expresions are in the same object,The MANAGER ASSIGNMENT DATE must be less than or equal to the table data date (gf_cutoff_date) and greater than the date 01/01/1950,,Both,DELIVERED, ,29/02/2024,KMIG_customer-allocation_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kmig_hamm/13.0.3/hammurabi/confs/master/kmig/KMIG_customer-allocation_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_kmig_customer_allocation,gf_management_change_date,,,  ,GL_DOM_t_kmig_customer_allocation_5.3_001,5.3-Comparison between different values ​​of data related to each other (data in the same object): Logical comparison between two fields or expresions are in the same object,The manager change date (gf_management_change_date) must be greater than or equal to the MANAGER ASSIGNMENT DATE (gf_management_alloc_date),,Both,DELIVERED, ,30/09/2024,KMIG_customer-allocation_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kmig_hamm/15.0.4/hammurabi/confs/master/kmig/KMIG_customer-allocation_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_tdi3_tracking_code,gf_tracking_code_deletion_date,,,  ,GL_DOM_t_tdi3_tracking_code_5.3_000,5.3-Comparison between different values ​​of data related to each other (data in the same object): Logical comparison between two fields or expresions are in the same object,The TRACKING CODE DELETION DATE must be less than or equal to the table cutoff date (gf_cutoff_date).,,Local,DELIVERED, ,29/02/2024,TDI3_tracking-code_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/tdi3_hamm/13.0.3/hammurabi/confs/master/tdi3/TDI3_tracking-code_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_tdi3_communication,gf_communication_deletion_date,,,  ,GL_DOM_t_tdi3_communication_5.3_002,5.3-Comparison between different values ​​of data related to each other (data in the same object): Logical comparison between two fields or expresions are in the same object,The COMMUNICATION DELETION DATE must be less than or equal to the table cutoff date (gf_cutoff_date).,,Local,DELIVERED, ,29/02/2024,TDI3_communication_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/tdi3_hamm/13.0.3/hammurabi/confs/master/tdi3/TDI3_communication_MRField.conf,
MVP TECHNICAL,Stock,DPOw Client Solutions,t_kwth_market_emis_factor,gf_entity_id,,,  ,GL_MVP_t_kwth_market_emis_factor_3.1_002,3.1-Checking the null data value (NULL or empty value),"The 
 field gf_entity_id from the object t_kwth_market_emis_factor
 must be informed",,Local,DELIVERED, ,29/02/2024,KWTH_market-emis-factor_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,4Q21,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kwth_hamm/13.0.3/hammurabi/confs/master/kwth/KWTH_market-emis-factor_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_kcpg_general_budgets,g_frequency_type_id,,,  ,GL_DOM_t_kcpg_general_budgets_3.5_004,3.5-Checking the value of the data in the catalog (Value against catalog),The g_frequency_type_id field must have one of the values ​​listed in your catalog.,,Local,DELIVERED, ,29/02/2024,KCPG_general-budgets_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,ALFQ,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kcpg_hamm/13.0.3/hammurabi/confs/master/kcpg/KCPG_general-budgets_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_kszg_queue_controller,gf_geco_ticket_date,,,  ,GL_DOM_t_kszg_queue_controller_5.3_002,5.3-Comparison between different values ​​of data related to each other (data in the same object): Logical comparison between two fields or expresions are in the same object,The ticket generation date must be less than the service start date as long as the office service indicator is equal to Y.,,Local,DELIVERED, ,29/02/2024,KSZG_queue-controller_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kszg_hamm/13.0.3/hammurabi/confs/master/kszg/KSZG_queue-controller_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_re4m_conversations_insights,gf_score_probability_per,,,  ,GL_DOM_t_re4m_conversations_insights_3.4_000,3.4-Checking the data value within the expected range (value within a range),"When informed, the percentage (gf_score_probability_per) must be greater than or equal to 0 and less than or equal to 1",,Local,DELIVERED, ,29/02/2024,RE4M_conversations-insights_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/re4m_hamm/13.0.3/hammurabi/confs/master/re4m/RE4M_conversations-insights_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_re4m_conversations_insights,g_facet_attribute_id,,,  ,GL_DOM_t_re4m_conversations_insights_3.5_002,3.5-Checking the value of the data in the catalog (Value against catalog),The g_facet_attribute_id field must have one of the values ​​listed in your catalog.,,Local,DELIVERED, ,29/02/2024,RE4M_conversations-insights_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,A487,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/re4m_hamm/13.0.3/hammurabi/confs/master/re4m/RE4M_conversations-insights_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_tdi3_campaign,gf_cmpgn_end_date,,,  ,GL_DOM_t_tdi3_campaign_5.3_002,5.3-Comparison between different values ​​of data related to each other (data in the same object): Logical comparison between two fields or expresions are in the same object,"For records with g_campaign_always_on_ind_type = 'Y', the campaign end date (gf_cmpgn_end_date) must be less than or equal to the table data date (gf_cutoff_date).",,Local,DELIVERED, ,29/02/2024,TDI3_campaign_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/tdi3_hamm/13.0.3/hammurabi/confs/master/tdi3/TDI3_campaign_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_kmig_customer_allocation,g_person_role_type,,,  ,GL_DOM_t_kmig_customer_allocation_3.5_001,3.5-Checking the value of the data in the catalog (Value against catalog),This field (g_person_role_type) must have one of the values ​​listed in your catalog,,Both,DELIVERED, ,29/02/2024,KMIG_customer-allocation_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,C529,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kmig_hamm/13.0.3/hammurabi/confs/master/kmig/KMIG_customer-allocation_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_kmig_customer_allocation,g_portfolio_relation_type,,,  ,GL_DOM_t_kmig_customer_allocation_3.5_002,3.5-Checking the value of the data in the catalog (Value against catalog),The g_portfolio_relation_type field must have one of the values ​​listed in your catalog.,,Both,DELIVERED, ,29/02/2024,KMIG_customer-allocation_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,B440,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kmig_hamm/13.0.3/hammurabi/confs/master/kmig/KMIG_customer-allocation_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_kmig_customer_allocation,g_portfolio_role_type,,,  ,GL_DOM_t_kmig_customer_allocation_3.5_003,3.5-Checking the value of the data in the catalog (Value against catalog),The g_portfolio_role_type field must have one of the values ​​listed in your catalog.,,Both,DELIVERED, ,29/02/2024,KMIG_customer-allocation_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,B439,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kmig_hamm/13.0.3/hammurabi/confs/master/kmig/KMIG_customer-allocation_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_katc_relevant_facts,g_relevant_fact_type_id,,,  ,GL_DOM_t_katc_relevant_facts_3.5_003,3.5-Checking the value of the data in the catalog (Value against catalog),The g_relevant_fact_type_id field must have one of the values ​​listed in your catalog.,,Local,DELIVERED, ,29/02/2024,KATC_relevant-facts_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,A242,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/katc_hamm/13.0.3/hammurabi/confs/master/katc/KATC_relevant-facts_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_re4m_autom_resolution,g_person_role_type,,,  ,GL_DOM_t_re4m_autom_resolution_3.5_001,3.5-Checking the value of the data in the catalog (Value against catalog),This field (g_person_role_type) must have one of the values ​​listed in your catalog,,Local,DELIVERED, ,29/02/2024,RE4M_autom-resolution_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,C529,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/re4m_hamm/13.0.3/hammurabi/confs/master/re4m/RE4M_autom-resolution_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_re4m_autom_resolution,gf_model_response_type,,,  ,GL_DOM_t_re4m_autom_resolution_5.3_000,5.3-Comparison between different values ​​of data related to each other (data in the same object): Logical comparison between two fields or expresions are in the same object,"When the ""gf_model_response_type"" field takes the value ""0"" the ""gf_model_answer_desc"" field must take the value ""Resolve"".",,Local,DELIVERED, ,29/02/2024,RE4M_autom-resolution_MRField.conf,CLIENT SOLUTIONS,FINISHED,13.0.3,1Q23,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/re4m_hamm/13.0.3/hammurabi/confs/master/re4m/RE4M_autom-resolution_MRField.conf,
