ids;subset;naming_set;tablas;ID RULE;Subset;DEFINITION PERIOD
GL_DOM_t_kceg_customer_engagement_5.3_002;g_digital_affiliation_type = 'Y';{'g_mobile_behaviour_type'};t_kceg_customer_engagement;GL_DOM_t_kceg_customer_engagement_5.3_002;Si g_digital_affiliation_type= Y;4Q22
GL_DOM_t_kceg_customer_engagement_5.3_003;g_customer_digital_target_type = 'Y';{'g_customer_digital_target_type'};t_kceg_customer_engagement;GL_DOM_t_kceg_customer_engagement_5.3_003;Si g_customer_digital_target_type= Y;4Q22
GL_DOM_t_kceg_customer_engagement_5.3_004;g_customer_target_type = 'Y';{'g_customer_target_type'};t_kceg_customer_engagement;GL_DOM_t_kceg_customer_engagement_5.3_004;;1Q23
27d25e785b;gf_participation_order_number is not null;{'gf_participation_order_number'};t_kceg_customer_products;27d25e785b;Distinto de Null;1Q24
2803fd24cf;gf_contract_count_number is not null;{'gf_contract_count_number'};t_kceg_customer_products;2803fd24cf;Distinto de null;2Q24
27d25e1b83;g_party_type='HOLDER' and gf_participation_order_number= 1;{'gf_contract_count_number'};t_kceg_customer_products;27d25e1b83;"(g_party_type=""HOLDER"") y (gf_participation_order_number=""1"") ";1Q24
28012c964d;gf_day_month_fx_act_cust_number is not null;{'gf_day_month_fx_act_cust_number'};t_kceg_fx_cust_gnrl_feat;28012c964d;Cuando sea distinto de null;2Q24
28012c96c0;gf_day_week_fx_act_cust_number is not null;{'gf_day_week_fx_act_cust_number'};t_kceg_fx_cust_gnrl_feat;28012c96c0;Cuando sea distinto de null;2Q24
28012c9729;gf_month_cust_fx_act_number is not null;{'gf_month_cust_fx_act_number'};t_kceg_fx_cust_gnrl_feat;28012c9729;Cuando sea distinto de null;2Q24
28012c985d;gf_day_last_fx_trans_number is not null;{'gf_day_last_fx_trans_number'};t_kceg_fx_cust_gnrl_feat;28012c985d;Cuando sea distinto de null;2Q24
2803fd23e2;g_fx_score_id == 'AGE';{'g_categ_fx_score_type'};t_kceg_fx_cust_scores;2803fd23e2;g_fx_score_id sea igual a AGE;2Q24
2803fd2452;g_fx_score_id != 'AGE';{'g_categ_fx_score_type'};t_kceg_fx_cust_scores;2803fd2452;g_fx_score_id sea distinto a AGE;2Q24
GL_DOM_t_kceg_identity_graph_3.5_000;g_person_role_type is not null and g_person_role_type != '';{'g_person_role_type'};t_kceg_identity_graph;GL_DOM_t_kceg_identity_graph_3.5_000;Distinto de Null o vacío;2Q23
27b6311162;g_supra_channel_id is not null and g_supra_channel_id != '';{'g_supra_channel_id'};t_kceg_identity_graph;27b6311162;Distinto de Null o vacío;1Q24
276e6d038f;g_non_trs_vslztn_only_ind_type is not null and g_non_trs_vslztn_only_ind_type != '';{'g_non_trs_vslztn_only_ind_type'};t_kcpg_appl_cust_contract_perst;276e6d038f;Distinto de Null o vacío;3Q23
276e6d0390;g_non_visible_mark_ind_type is not null and g_non_visible_mark_ind_type != '';{'g_non_visible_mark_ind_type'};t_kcpg_appl_cust_contract_perst;276e6d0390;Distinto de Null o vacío;3Q23
28075be840;g_inv_cmunts_act_mark_ind_type is not null and g_inv_cmunts_act_mark_ind_type != '';{'g_inv_cmunts_act_mark_ind_type'};t_kcpg_appl_cust_perst;28075be840;Distinto de null o vacío;3Q24
