ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters;datavaluespath_str;datavaluessubset_gcatalogid;datavaluessubset_gffrequencytype
287b3be903;{'g_device_status_type'};t_kusu_device_his;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C929' and gf_frequency_type='D';287b3be903;C929;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C929;D
287b3be9b1;{'g_device_supplier_type'};t_kusu_device_his;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E565' and gf_frequency_type='D';287b3be9b1;E565;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E565;D
287b3bea53;{'g_device_authentication_type'};t_kusu_device_his;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='E692' and gf_frequency_type='D';287b3bea53;E692;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;E692;D
287b3beb19;{'g_country_id'};t_kusu_user_role;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C245' and gf_frequency_type='D';287b3beb19;C245;Daily;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C245;D
27fdb834b4;{'g_asset_country_id'};t_l9ct_co_asset_rel_activity;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catlg_field_value_es_desc;g_catalog_id ='D148' and gf_frequency_type='M';27fdb834b4;D148;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;D148;M
27fdb25f04;{'g_asset_country_id'};t_l9ct_co_asset_rel_emissions;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catlg_field_value_es_desc;g_catalog_id ='D148' and gf_frequency_type='M';27fdb25f04;D148;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;D148;M
27927468f3;{'g_data_origin_qlty_score_type'};t_l9ct_em_factors_buildings;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catlg_field_value_es_desc;g_catalog_id ='B347' and gf_frequency_type='D';27927468f3;B347;Punctual;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;B347;D
2792746377;{'g_data_origin_qlty_score_type'};t_l9ct_em_factors_by_sector;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catlg_field_value_es_desc;g_catalog_id ='B347' and gf_frequency_type='D';2792746377;B347;Punctual;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;B347;D
2792746658;{'g_data_origin_qlty_score_type'};t_l9ct_em_factors_motor_ve;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catlg_field_value_es_desc;g_catalog_id ='B347' and gf_frequency_type='D';2792746658;B347;Punctual;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;B347;D
2848d7cdcb;{'g_nfrd_category_type'};t_l9ct_esg_ext_data_comp_annl;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id ='E742' and gf_frequency_type = 'M';2848d7cdcb;E742;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy;E742;M
2848d7ceb7;{'g_csrd_category_type'};t_l9ct_esg_ext_data_comp_annl;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id ='E742' and gf_frequency_type = 'M';2848d7ceb7;E742;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy;E742;M
2848d7cbf2;{'gf_local_repository_id'};t_l9ct_gp_cust_ext_data_comp;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='CRES' and gf_frequency_type='M';2848d7cbf2;CRES;Monthly;;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;CRES;M
