id_ns;uuaa;country;type
gl.ress.app-id-1388874.pro;ress;glo;pro
gl.kmcs.app-id-133346.pro;kmcs;glo;pro
gl.j5mc.app-id-1323345.pro;j5mc;glo;pro
gl.kloc.app-id-1316475.pro;kloc;glo;pro
gl.kise.app-id-1313372.pro;kise;glo;pro
gl.scat.app-id-1302468.pro;scat;glo;pro
gl.kssi.app-id-1034788.pro;kssi;glo;pro
gl.uesg.app-id-1041065.pro;uesg;glo;pro
gl.kncs.app-id-1255167.pro;kncs;glo;pro
gl.esgs.app-id-1249851.pro;esgs;glo;pro
gl.kcpr.app-id-1243847.pro;kcpr;glo;pro
gl.kxfs.app-id-1239882.pro;kxfs;glo;pro
gl.fvnd.app-id-34902.pro;fvnd;glo;pro
gl.l9sv.app-id-1120795.pro;l9sv;glo;pro
gl.rcom.app-id-1144181.pro;rcom;glo;pro
gl.ksci.app-id-536380.pro;ksci;glo;pro
gl.ktcp.app-id-1198915.pro;ktcp;glo;pro
gl.rmic.app-id-1145718.pro;rmic;glo;pro
gl.esge.app-id-864185.pro;esge;glo;pro
gl.vbor.app-id-1094508.pro;vbor;glo;pro
gl.kcca.app-id-1072789.pro;kcca;glo;pro
gl.kttk.app-id-1055940.pro;kttk;glo;pro
gl.kinr.app-id-1055844.pro;kinr;glo;pro
gl.kivg.app-id-1054346.pro;kivg;glo;pro
gl.kffo.app-id-1054295.pro;kffo;glo;pro
gl.kfan.app-id-1054048.pro;kfan;glo;pro
gl.kris.app-id-1041254.pro;kris;glo;pro
gl.z9gr.app-id-966516.pro;z9gr;glo;pro
gl.kpsc.app-id-1034817.pro;kpsc;glo;pro
gl.f30v.app-id-938255.pro;f30v;glo;pro
gl.kalm.app-id-22509.pro;kalm;glo;pro
gl.ktm2.app-id-1021436.pro;ktm2;glo;pro
gl.krba.app-id-1020940.pro;krba;glo;pro
gl.lmr6.app-id-191790.pro;lmr6;glo;pro
gl.hlpq.app-id-915837.pro;hlpq;glo;pro
gl.kpcf.app-id-1003127.pro;kpcf;glo;pro
gl.kcco.app-id-983847.pro;kcco;glo;pro
gl.dime.app-id-975667.pro;dime;glo;pro
gl.knfa.app-id-25589.pro;knfa;glo;pro
gl.ktmt.app-id-945109.pro;ktmt;glo;pro
gl.klth.app-id-927892.pro;klth;glo;pro
gl.qpip.app-id-931670.pro;qpip;glo;pro
gl.agb3.app-id-927143.pro;agb3;glo;pro
gl.kfnh.app-id-798477.pro;kfnh;glo;pro
gl.gxok.app-id-873302.pro;gxok;glo;pro
gl.kptt.app-id-843373.pro;kptt;glo;pro
gl.xtab.app-id-822244.pro;xtab;glo;pro
gl.nols.app-id-820326.pro;nols;glo;pro
gl.inab.app-id-670515.pro;inab;glo;pro
gl.gkxj.app-id-813717.pro;gkxj;glo;pro
gl.knwd.app-id-16594.pro;knwd;glo;pro
gl.o5ra.app-id-710500.pro;o5ra;glo;pro
gl.hdn4.app-id-775433.pro;hdn4;glo;pro
gl.tliq.app-id-623015.pro;tliq;glo;pro
gl.kmig.app-id-764032.pro;kmig;glo;pro
gl.kvcs.app-id-487851.pro;kvcs;glo;pro
gl.ksdd.app-id-16936.pro;ksdd;glo;pro
gl.krlt.app-id-682410.pro;krlt;glo;pro
gl.kiwb.app-id-32912.pro;kiwb;glo;pro
gl.tcgw.app-id-570113.pro;tcgw;glo;pro
gl.duco.app-id-681250.pro;duco;glo;pro
gl.sflt.app-id-659940.pro;sflt;glo;pro
gl.kstr.app-id-645773.pro;kstr;glo;pro
gl.fsbe.app-id-634119.pro;fsbe;glo;pro
gl.xmbr.app-id-631279.pro;xmbr;glo;pro
gl.di4j.app-id-617975.pro;di4j;glo;pro
gl.fiat.app-id-616837.pro;fiat;glo;pro
gl.kagq.app-id-592600.pro;kagq;glo;pro
gl.dtau.app-id-573291.pro;dtau;glo;pro
gl.gaax.app-id-581887.pro;gaax;glo;pro
gl.al11.app-id-576446.pro;al11;glo;pro
gl.do8w.app-id-527820.pro;do8w;glo;pro
gl.gold.app-id-557923.pro;gold;glo;pro
gl.gjsx.app-id-561342.pro;gjsx;glo;pro
gl.rupy.app-id-549570.pro;rupy;glo;pro
gl.sfin.app-id-545923.pro;sfin;glo;pro
gl.kdwr.app-id-33414.pro;kdwr;glo;pro
gl.khra.app-id-529546.pro;khra;glo;pro
gl.kagg.app-id-527972.pro;kagg;glo;pro
gl.gcwv.app-id-519212.pro;gcwv;glo;pro
gl.klea.app-id-508067.pro;klea;glo;pro
gl.kdse.app-id-491578.pro;kdse;glo;pro
gl.sgpm.app-id-489422.pro;sgpm;glo;pro
gl.e5jc.app-id-488815.pro;e5jc;glo;pro
gl.ltce.app-id-457355.pro;ltce;glo;pro
gl.ksbp.app-id-348872.pro;ksbp;glo;pro
gl.ni0c.app-id-234369.pro;ni0c;glo;pro
gl.katt.app-id-17190.pro;katt;glo;pro
