conf;job_url;table;secundary_table;job;version
KCPG_general-goals_MRObject.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-generalgoalsmrobject-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-generalgoalsmrobject-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_general_goals;;kcpg-gl-hmm-qlt-generalgoalsmrobject-01.json;"""18.3.3"""
KCPG_general-goals_KCOG_country_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-generalgoalsmmrule-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-generalgoalsmmrule-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_general_goals;t_kcog_country;kcpg-gl-hmm-qlt-generalgoalsmmrule-01.json;"""18.3.3"""
KCPG_general-piggybank_MRField.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-generalpiggybankmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-generalpiggybankmrfield-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_general_piggybank;;kcpg-gl-hmm-qlt-generalpiggybankmrfield-01.json;"""18.3.3"""
KCPG_general-piggybank_MRObject.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-generalpiggybankmrobject-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-generalpiggybankmrobject-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_general_piggybank;;kcpg-gl-hmm-qlt-generalpiggybankmrobject-01.json;"""18.3.3"""
KCPG_goal-contributions_MRField.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-goalcontributionsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-goalcontributionsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_goal_contributions;;kcpg-gl-hmm-qlt-goalcontributionsmrfield-01.json;"""18.3.3"""
KCPG_goal-contributions_MRObject.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-goalcontributionsmrobject-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-goalcontributionsmrobject-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_goal_contributions;;kcpg-gl-hmm-qlt-goalcontributionsmrobject-01.json;"""18.3.3"""
KCPG_goal-contributions_KCOG_country_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-goalcontributionsmmrule-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-goalcontributionsmmrule-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_goal_contributions;t_kcog_country;kcpg-gl-hmm-qlt-goalcontributionsmmrule-01.json;"""18.3.3"""
KCPG_goal-contributions_KCPG_general-goals_MMRule.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-goalcontributionsmmrule-02.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-goalcontributionsmmrule-02.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_goal_contributions;t_kcpg_general_goals;kcpg-gl-hmm-qlt-goalcontributionsmmrule-02.json;"""18.3.3"""
KCPG_goal-rules_MRField.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-goalrulesmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-goalrulesmrfield-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_goal_rules;;kcpg-gl-hmm-qlt-goalrulesmrfield-01.json;"""18.3.3"""
KCPG_goal-rules_MRObject.conf;"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/kcpg-gl-hmm-qlt-goalrulesmrobject-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_KCPG_APP-ID-26206_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/kcpg-gl-hmm-qlt-goalrulesmrobject-01.json?at=refs%2Ftags%2Fv18.3.3";t_kcpg_goal_rules;;kcpg-gl-hmm-qlt-goalrulesmrobject-01.json;"""18.3.3"""
