implantacion,table,conf_type,conf,version,params,ConfigURL,Extralibs,version_simple,unique_id,NombreJob,LARGO_MAX41+5
Holding,t_l9ct_inst_esg_scores_dimension,MRObject,L9CT_inst-esg-scores-dimension_MRObject.conf,10.0.0,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_inst-esg-scores-dimension_MRObject.conf,,1000,instesgscoresdimensmrobject,l9ct-gl-hmm-qlt-instesgscoresdimensmrobject-,44
Holding,t_l9ct_institutions_esg,MRField,L9CT_institutions-esg_MRField.conf,10.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_institutions-esg_MRField.conf,,1000,institutionsesgmrfield,l9ct-gl-hmm-qlt-institutionsesgmrfield-,39
Holding,t_l9ct_institutions_esg,MRField,L9CT_institutions-esg_MRField.conf,11.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/11.0.0/entregable_hammurabi/L9CT/L9CT_institutions-esg_MRField.conf,,1100,institutionsesgmrfield,l9ct-gl-hmm-qlt-institutionsesgmrfield-,39
Holding,t_l9ct_institutions_esg,MRObject,L9CT_institutions-esg_MRObject.conf,10.0.0,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_institutions-esg_MRObject.conf,,1000,institutionsesgmrobject,l9ct-gl-hmm-qlt-institutionsesgmrobject-,40
Holding,t_l9ct_insts_esg_scores_cases,MRField,L9CT_insts-esg-scores-cases_MRField.conf,10.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-cases_MRField.conf,,1000,instsesgscorescasesmrfield,l9ct-gl-hmm-qlt-instsesgscorescasesmrfield-,43
Holding,t_l9ct_insts_esg_scores_cases,MRField,L9CT_insts-esg-scores-cases_MRField.conf,11.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/11.0.0/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-cases_MRField.conf,,1100,instsesgscorescasesmrfield,l9ct-gl-hmm-qlt-instsesgscorescasesmrfield-,43
Holding,t_l9ct_insts_esg_scores_cases,MRField,L9CT_insts-esg-scores-cases_MRField.conf,11.0.3,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/11.0.3/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-cases_MRField.conf,,1103,instsesgscorescasesmrfield,l9ct-gl-hmm-qlt-instsesgscorescasesmrfield-,43
Holding,t_l9ct_insts_esg_scores_cases,MRObject,L9CT_insts-esg-scores-cases_MRObject.conf,10.0.0,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-cases_MRObject.conf,,1000,instsesgscorescasesmrobject,l9ct-gl-hmm-qlt-instsesgscorescasesmrobject-,44
Holding,t_l9ct_insts_esg_scores_criteria,MMRule,L9CT_insts-esg-scores-criteria_L9CT_inst-esg-scores-dimension_MMRule.conf,11.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/11.0.0/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-criteria_L9CT_inst-esg-scores-dimension_MMRule.conf,,1100,instsesgscorescritemmrule,l9ct-gl-hmm-qlt-instsesgscorescritemmrule-,42
Holding,t_l9ct_insts_esg_scores_criteria,MRField,L9CT_insts-esg-scores-criteria_MRField.conf,10.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-criteria_MRField.conf,,1000,instsesgscorescritemrfield,l9ct-gl-hmm-qlt-instsesgscorescritemrfield-,43
Holding,t_l9ct_insts_esg_scores_criteria,MRField,L9CT_insts-esg-scores-criteria_MRField.conf,11.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/11.0.0/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-criteria_MRField.conf,,1100,instsesgscorescritemrfield,l9ct-gl-hmm-qlt-instsesgscorescritemrfield-,43
Holding,t_l9ct_insts_esg_scores_criteria,MRField,L9CT_insts-esg-scores-criteria_MRField.conf,12.0.3,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/12.0.3/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-criteria_MRField.conf,,1203,instsesgscorescritemrfield,l9ct-gl-hmm-qlt-instsesgscorescritemrfield-,43
Holding,t_l9ct_insts_esg_scores_criteria,MRObject,L9CT_insts-esg-scores-criteria_MRObject.conf,10.0.0,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-criteria_MRObject.conf,,1000,instsesgscorescritemrobject,l9ct-gl-hmm-qlt-instsesgscorescritemrobject-,44
Holding,t_l9ct_insts_esg_scores_general,MMRule,L9CT_insts-esg-scores-general_L9CT_institutions-esg_MMRule.conf,11.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/11.0.0/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-general_L9CT_institutions-esg_MMRule.conf,,1100,instsesgscoresgenermmrule,l9ct-gl-hmm-qlt-instsesgscoresgenermmrule-,42
Holding,t_l9ct_insts_esg_scores_general,MRField,L9CT_insts-esg-scores-general_MRField.conf,10.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-general_MRField.conf,,1000,instsesgscoresgenermrfield,l9ct-gl-hmm-qlt-instsesgscoresgenermrfield-,43
Holding,t_l9ct_insts_esg_scores_general,MRField,L9CT_insts-esg-scores-general_MRField.conf,11.0.3,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/11.0.3/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-general_MRField.conf,,1103,instsesgscoresgenermrfield,l9ct-gl-hmm-qlt-instsesgscoresgenermrfield-,43
Holding,t_l9ct_insts_esg_scores_general,MMRule,L9CT_insts-esg-scores-general_MRField.conf,12.0.3,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/12.0.3/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-general_MRField.conf,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gdh/hammurabi-filteragg/1.0.5/hammurabi-filteragg-1.0.5-jar-with-dependencies.jar,1203,instsesgscoresgenermmrule,l9ct-gl-hmm-qlt-instsesgscoresgenermmrule-,42
Holding,t_l9ct_insts_esg_scores_general,MRObject,L9CT_insts-esg-scores-general_MRObject.conf,10.0.0,"CUTOFF_DATE: Date of the data
FECHA_VOLUMETRIC: Date of values to compare with
LOWER_BOUND: Lower percentage bound
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/L9CT/L9CT_insts-esg-scores-general_MRObject.conf,,1000,instsesgscoresgenermrobject,l9ct-gl-hmm-qlt-instsesgscoresgenermrobject-,44
Holding,t_l9ct_prod_asset_co_relations,MRField,L9CT_prod-asset-co-relations_MRField.conf,13.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/13.0.0/entregable_hammurabi/L9CT/L9CT_prod-asset-co-relations_MRField.conf,,1300,prodassetcorelationmrfield,l9ct-gl-hmm-qlt-prodassetcorelationmrfield-,43
Holding,t_l9ct_prod_asset_co_relations,MRObject,L9CT_prod-asset-co-relations_MRObject.conf,13.0.0,"CUTOFF_DATE: Date of the data 
FECHA_VOLUMETRIC: Date of values to compare with 
LOWER_BOUND: Lower percentage bound 
UPPER_BOUND: Upper percentage bound",https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/13.0.0/entregable_hammurabi/L9CT/L9CT_prod-asset-co-relations_MRObject.conf,,1300,prodassetcorelationmrobject,l9ct-gl-hmm-qlt-prodassetcorelationmrobject-,44
Holding,t_l9ct_prod_assets_oilgas_annual,MRField,L9CT_prod-assets-oilgas-annual_MRField.conf,13.0.0,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/13.0.0/entregable_hammurabi/L9CT/L9CT_prod-assets-oilgas-annual_MRField.conf,,1300,prodassetsoilgasannmrfield,l9ct-gl-hmm-qlt-prodassetsoilgasannmrfield-,43
