,archivos,tablas,ids,namings,criticals,type_rules,datavaluescolumn,datavaluessubset,datavaluespath,values,subset,drilldown,acceptanceMin,rule
643,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_customer-personalization_KBTQ_role-person_MMRule.conf,t_j7il_customer_personalization,GL_STR_t_j7il_customer_personalization_4.3_002,g_role_person_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_role_person/'],,,,ACCEPTANCE_MIN_KBTQ_00,4.3
644,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_customer-personalization_KBTQ_role-person_MMRule.conf,t_j7il_customer_personalization,GL_STR_t_j7il_customer_personalization_4.3_003,g_person_role_type,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_role_person/'],,,,ACCEPTANCE_MIN_KBTQ_01,4.3
645,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_customer-personalization_KCOG_country_MMRule.conf,t_j7il_customer_personalization,GL_STR_t_j7il_customer_personalization_4.3_000,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
646,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_customer-personalization_KCOG_entity_MMRule.conf,t_j7il_customer_personalization,GL_STR_t_j7il_customer_personalization_4.3_001,g_entity_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
670,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_customer-refusals_KBTQ_role-person_MMRule.conf,t_j7il_customer_refusals,GL_STR_t_j7il_customer_refusals_4.3_002,g_role_person_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_role_person/'],,,,ACCEPTANCE_MIN_KBTQ_00,4.3
671,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_customer-refusals_KBTQ_role-person_MMRule.conf,t_j7il_customer_refusals,GL_STR_t_j7il_customer_refusals_4.3_003,g_person_role_type,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_role_person/'],,,,ACCEPTANCE_MIN_KBTQ_01,4.3
672,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_customer-refusals_KCOG_country_MMRule.conf,t_j7il_customer_refusals,GL_STR_t_j7il_customer_refusals_4.3_000,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
673,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_customer-refusals_KCOG_entity_MMRule.conf,t_j7il_customer_refusals,GL_STR_t_j7il_customer_refusals_4.3_001,g_entity_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
693,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_notification-management_KBTQ_role-person_MMRule.conf,t_j7il_notification_management,GL_STR_t_j7il_notification_management_4.3_003,g_role_person_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_role_person/'],,,,ACCEPTANCE_MIN_KBTQ_00,4.3
694,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_notification-management_KBTQ_role-person_MMRule.conf,t_j7il_notification_management,GL_STR_t_j7il_notification_management_4.3_004,g_person_role_type,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_role_person/'],,,,ACCEPTANCE_MIN_KBTQ_01,4.3
