ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters;datavaluespath_str;datavaluessubset_gcatalogid;datavaluessubset_gffrequencytype
27b91e8743;{'g_interaction_platform_type'};t_re4m_physical_interaction;g_interaction_platform_type is not null and g_interaction_platform_type != '';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C448' and gf_frequency_type='D';27b91e8743;C448;Daily;Distinto de Null o vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C448;D
27d6819112;{'g_entific_id'};t_re4m_physical_interaction;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='CD07' and gf_frequency_type='D';27d6819112;CD07;Daily;;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;CD07;D
27a70f8584;{'g_country_id'};t_re4m_typification_interaction;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C245' and gf_frequency_type='D';27a70f8584;C245;Daily;;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C245;D
27a70f8660;{'g_supra_channel_id'};t_re4m_typification_interaction;g_supra_channel_id is not null and g_supra_channel_id != '';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C069' and gf_frequency_type='D';27a70f8660;C069;Daily;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C069;D
28411348b0;{'g_country_id'};t_rzua_contract_output_emissions;;['MASTERSCHEMA.t_ktny_catalog_values_taxonomy'];;gf_catalog_val_id;g_catalog_id ='C245' and gf_frequency_type='D';28411348b0;C245;Monthly;;4Q24;Dec_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;MASTERSCHEMA.t_ktny_catalog_values_taxonomy;C245;D
27bff72857;{'g_sustainability_mark_id'};t_rzua_operations_cust_scope_cib;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='SUST' and gf_frequency_type='M';27bff72857;SUST;Monthly;;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;SUST;M
27d56d3ac2;{'g_sustnbl_subcategory_id'};t_rzua_operations_cust_scope_cib;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id IN ('RBGR', 'RBES', 'RBSO') and gf_frequency_type='M';27d56d3ac2;"RBGR
RBES
RBSO";Monthly;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;;M
27d56d8198;{'g_sustainability_category_id'};t_rzua_operations_cust_scope_cib;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id IN ('RBGR', 'RBES', 'RBSO') and gf_frequency_type='M';27d56d8198;"RBGR
RBES
RBSO";Monthly;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;;M
GL_DOM_t_rzua_operations_cust_scope_3.5_000;{'g_sustnbl_subcategory_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='C593';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C593' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_000;C593;Monthly;g_sustainability_mark_id igual a C593;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C593;M
GL_DOM_t_rzua_operations_cust_scope_3.5_001;{'g_sustnbl_subcategory_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='RBCR';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBCR' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_001;RBCR;Monthly;g_sustainability_mark_id igual a RBCR;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBCR;M
GL_DOM_t_rzua_operations_cust_scope_3.5_002;{'g_sustnbl_subcategory_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='RBES';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBES' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_002;RBES;Monthly;g_sustainability_mark_id igual a RBES;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBES;M
GL_DOM_t_rzua_operations_cust_scope_3.5_003;{'g_sustnbl_subcategory_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='RBGR';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBGR' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_003;RBGR;Monthly;g_sustainability_mark_id es igual a RBGR;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBGR;M
GL_DOM_t_rzua_operations_cust_scope_3.5_004;{'g_sustnbl_subcategory_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='RBOI';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBOI' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_004;RBOI;Monthly;g_sustainability_mark_id es igual a RBOI;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBOI;M
GL_DOM_t_rzua_operations_cust_scope_3.5_005;{'g_sustnbl_subcategory_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='RBSO';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBSO' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_005;RBSO;Monthly;g_sustainability_mark_id es igual a RBSO;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBSO;M
GL_DOM_t_rzua_operations_cust_scope_3.5_006;{'g_sustainability_mark_id'};t_rzua_operations_cust_scope;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='SUST' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_006;SUST;Monthly;;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;SUST;M
GL_DOM_t_rzua_operations_cust_scope_3.5_007;{'g_sustainability_category_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='C593';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C593' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_007;C593;Monthly;g_sustainability_mark_id igual a C593;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C593;M
GL_DOM_t_rzua_operations_cust_scope_3.5_008;{'g_sustainability_category_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='RBCR';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBCR' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_008;RBCR;Monthly;g_sustainability_mark_id igual a RBCR;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBCR;M
GL_DOM_t_rzua_operations_cust_scope_3.5_009;{'g_sustainability_category_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='RBES';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBES' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_009;RBES;Monthly;g_sustainability_mark_id igual a RBES;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBES;M
GL_DOM_t_rzua_operations_cust_scope_3.5_010;{'g_sustainability_category_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='RBGR';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBGR' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_010;RBGR;Monthly;g_sustainability_mark_id es igual a RBGR;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBGR;M
GL_DOM_t_rzua_operations_cust_scope_3.5_011;{'g_sustainability_category_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='RBOI';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBOI' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_011;RBOI;Monthly;g_sustainability_mark_id es igual a RBOI;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBOI;M
GL_DOM_t_rzua_operations_cust_scope_3.5_012;{'g_sustainability_category_id'};t_rzua_operations_cust_scope;g_sustainability_mark_id ='RBSO';['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBSO' and gf_frequency_type='M';GL_DOM_t_rzua_operations_cust_scope_3.5_012;RBSO;Monthly;g_sustainability_mark_id es igual a RBSO;2Q23;Jul_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBSO;M
GL_DOM_t_rzua_sust_collaterals_3.5_000;{'g_country_id'};t_rzua_sust_collaterals;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C245' and gf_frequency_type='M';GL_DOM_t_rzua_sust_collaterals_3.5_000;C245;Monthly;;1Q22;Abr_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C245;M
27b80aac70;{'g_condition_action_id'};t_rzua_sust_kpi_link_oper_checkp;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='B079' and gf_frequency_type='M';27b80aac70;B079;Monthly;;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;B079;M
279b41f782;{'g_op_trig_impc_meas_unit_type'};t_rzua_sust_kpi_link_oper_checkp;g_op_trig_impc_meas_unit_type is not null;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='D119' and gf_frequency_type='M';279b41f782;D119;Monthly;g_op_trig_impc_meas_unit_type is Not Null;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;D119;M
279b42bceb;{'g_min_rng_vl_eval_crit_cond_id'};t_rzua_sust_kpi_link_oper_checkp;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='D118' and gf_frequency_type='M';279b42bceb;D118;Monthly;;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;D118;M
279b42d6ca;{'g_max_rng_vl_eval_crit_cond_id'};t_rzua_sust_kpi_link_oper_checkp;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='D118' and gf_frequency_type='M';279b42d6ca;D118;Monthly;;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;D118;M
279b3496da;{'g_internal_kpi_id'};t_rzua_sust_kpi_link_oper_condit;;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='B259' and gf_frequency_type='M';279b3496da;B259;Monthly;;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;B259;M
