tabla,tabla_sin_ingesta_ni_calidad,tabla_sin_ingesta_ni_calidad_RAZON,regla_deshabilitada,"regla_deshabilitada
_RAZON",conf regla deshabilitada,tabla regla deshabilitada
t_kfcm_feedback_filled_form,,,279d4f3a9d,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",L9CT_grp-clnt-paris-alignment_MRField.conf,t_l9ct_grp_clnt_paris_alignment
t_kfcm_feedback_form_field,,,27f75c909b,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",KCTD_interaction-activity_MRField.conf,t_kctd_interaction_activity
t_kfcm_feedback_form_shown,,,2801aec042,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",KCTD_interaction-activity_MRField.conf,t_kctd_interaction_activity
t_kfcm_feedback_forms,,,27f75ccac2,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",KCTD_interaction-activity_MRField.conf,t_kctd_interaction_activity
t_kfcm_feedback_options,,,27f75ccb3d,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",KCTD_interaction-activity_MRField.conf,t_kctd_interaction_activity
t_ksrr_new_production,,,27f75cba62,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",KCTD_interaction-activity_MRField.conf,t_kctd_interaction_activity
t_ksrr_new_production_subcat,,,27f75cbb01,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",KCTD_interaction-activity_MRField.conf,t_kctd_interaction_activity
t_kstb_sustnbl_cust_grp_board,,,27f75ccbb2,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",KCTD_interaction-activity_MRField.conf,t_kctd_interaction_activity
t_l9ct_bank_fl_enrg_ac_scp_3_ems,,,27f75cbb8f,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",KCTD_interaction-activity_MRField.conf,t_kctd_interaction_activity
t_l9ct_bank_rent_bldg_scp_3_ems,,,27f75ccc1e,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",KCTD_interaction-activity_MRField.conf,t_kctd_interaction_activity
t_l9ct_bank_scope_1_emissions,,,27f75cd025,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",KCTD_interaction-activity_MRField.conf,t_kctd_interaction_activity
t_l9ct_bank_scope_2_emissions,,,27f75ccc8d,"no existe el campo en el esquema de live
Re: [Global DH] Solicitud aperiodicos KCTD0001D 12/07/2024 - 01/08/2024",KCTD_interaction-activity_MRField.conf,t_kctd_interaction_activity
t_l9ct_bank_supp_cap_g_scp_3_ems,,,280d14b2e1,"ELIMINADA, no existe en el wip",#N/A,#N/A
t_l9ct_bk_supp_prch_g_svc_s3_ems,,,280d14b419,"ELIMINADA, no existe en el wip",#N/A,#N/A
t_l9ct_client_carbon_data_scp3,,,280d14b543,"ELIMINADA, no existe en el wip",#N/A,#N/A
t_l9ct_client_cmpny_carbon_data,,,GL_STR_t_rzua_contract_output_emissions_4.3_000,"Realizar reglas con 3.5 
Incluido en plantilla https://docs.google.com/forms/d/1Ety0Si_q-MwKli1xbGp6OjNpsGpfWVPGHLShiuKdOV0/viewform?edit_requested=true",RZUA_contract-output-emissions_KSAN_eom-contract_MMRule.conf,t_rzua_contract_output_emissions
t_l9ct_client_paris_alignment,,,GL_MVP_t_l9ct_gp_cust_ext_data_comp_4.3_000,"Falla cruce con Ksag customer rel
[External] Incidencia INC000102960584 - Tarea Asignada RES
[External] Incidencia INC000102960276 - Tarea Asignada RES",L9CT_gp-cust-ext-data-comp_KSAG_global-customer_rel_MMRule.conf,t_l9ct_gp_cust_ext_data_comp
t_l9ct_co_asset_rel_activity,,,GL_STR_t_b0hn_sust_groups_fdbk_detail_4.3_001,[C360-DQ] Excepcionar Reglas 4.3 B0HN,B0HN_sust-groups-fdbk-detail_B0HN_sust-groups-fdbk_MMRule.conf,t_b0hn_sust_groups_fdbk_detail
t_l9ct_co_asset_rel_emissions,,,,,#N/A,#N/A
t_l9ct_co_em_rduc_target,,,,,#N/A,#N/A
