tabla,tabla_sin_ingesta_ni_calidad,tabla_sin_ingesta_ni_calidad_RAZON,regla_deshabilitada,"regla_deshabilitada
_RAZON",conf regla deshabilitada,tabla regla deshabilitada
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
,,,,,#N/A,#N/A
